Electricity Capacity End-Use Generators Renewable Sources (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=9-AEO2023&region=0-0&cases=ref2023&start=2021&end=2050&f=A&linechart=ref2023-d020623a.68-9-AEO2023&ctype=linechart&sourcekey=0
20:53:52 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Year,Electricity Capacity: End-Use Generators: Renewable Sources GW
2050,231.526932
2049,223.842621
2048,216.260696
2047,208.26741
2046,201.085556
2045,192.871078
2044,185.692123
2043,178.825714
2042,172.055618
2041,165.440414
2040,158.830002
2039,152.265213
2038,145.725708
2037,139.357544
2036,133.96225
2035,127.585518
2034,122.657608
2033,116.118263
2032,109.911209
2031,104.475723
2030,99.106346
2029,93.947594
2028,88.145393
2027,83.382271
2026,78.473526
2025,73.924011
2024,68.065956
2023,61.784584
2022,55.088581
2021,
